FG_home,FG%_home,3P%_home,FT%_home,PTS_home,LogRatio_home,eFG%_home,TS%_home,FG_away,FG%_away,3P%_away,FT%_away,PTS_away,LogRatio_away,eFG%_away,TS%_away,HomeTeamWon,Winner
44.33333,0.507,0.31133,0.77167,115.0,0.06227,0.56455,0.62492,40.33333,0.48567,0.37133,0.72133,117.33333,0.13853,0.55229,0.64492,0.0,0
40.66667,0.47333,0.454,0.73433,106.33333,0.14604,0.54046,0.59091,36.66667,0.43133,0.32767,0.71367,93.0,-0.2064,0.48185,0.52557,1.0,1
34.33333,0.41933,0.347,0.85333,102.66667,-0.10004,0.48031,0.58305,38.66667,0.45367,0.37667,0.80267,104.0,-0.01195,0.51757,0.57973,0.66667,1
44.66667,0.52567,0.40967,0.75,111.66667,0.22823,0.59365,0.63199,38.0,0.46967,0.35667,0.73867,106.66667,-0.13811,0.53138,0.6113,0.66667,0
40.66667,0.46767,0.26367,0.742,103.33333,-0.14588,0.51042,0.56602,42.0,0.466,0.377,0.60067,108.33333,0.00302,0.54015,0.57644,0.66667,0
43.0,0.52467,0.49267,0.81567,120.33333,0.17585,0.62412,0.69339,40.33333,0.478,0.411,0.812,102.66667,0.13407,0.5364,0.58439,0.33333,1
34.33333,0.39533,0.33367,0.77033,96.66667,0.02309,0.44243,0.52134,41.66667,0.45533,0.30367,0.79233,106.66667,-0.11883,0.49965,0.55855,0.66667,0
43.33333,0.48767,0.38033,0.80067,116.0,0.11006,0.54191,0.61528,39.66667,0.45167,0.251,0.783,109.66667,-0.04619,0.5027,0.58357,0.66667,1
38.66667,0.47267,0.457,0.76567,107.33333,0.26754,0.55806,0.6206,37.66667,0.427,0.38867,0.839,107.0,-0.10819,0.49506,0.57185,1.0,0
44.0,0.517,0.37133,0.78833,114.0,0.18964,0.57925,0.64094,32.0,0.37733,0.31833,0.80833,92.0,-0.07011,0.44014,0.51278,1.0,1
33.66667,0.421,0.30467,0.76167,90.66667,-0.23203,0.47139,0.53654,38.0,0.45567,0.39633,0.79433,105.33333,-0.15306,0.52124,0.59305,1.0,0
42.33333,0.447,0.34967,0.75033,115.0,0.06524,0.5085,0.57431,40.0,0.46467,0.31367,0.82033,112.66667,0.0193,0.51501,0.60981,0.33333,0
