Date,Start (ET),AwayTeam,AwayPoints,HomeTeam,HomePoints
"Wed, Dec 27, 2017",7:00p,Boston Celtics,102,Charlotte Hornets,91
"Wed, Dec 27, 2017",7:00p,Dallas Mavericks,98,Indiana Pacers,94
"Wed, Dec 27, 2017",7:30p,Washington Wizards,99,Atlanta Hawks,113
"Wed, Dec 27, 2017",8:00p,New York Knicks,87,Chicago Bulls,92
"Wed, Dec 27, 2017",8:00p,Denver Nuggets,125,Minnesota Timberwolves,128
"Wed, Dec 27, 2017",8:00p,Brooklyn Nets,113,New Orleans Pelicans,128
"Wed, Dec 27, 2017",8:00p,Toronto Raptors,107,Oklahoma City Thunder,124
"Wed, Dec 27, 2017",10:00p,Cleveland Cavaliers,95,Sacramento Kings,109
"Wed, Dec 27, 2017",10:30p,Utah Jazz,101,Golden State Warriors,126
"Wed, Dec 27, 2017",10:30p,Memphis Grizzlies,109,Los Angeles Lakers,99
"Thu, Dec 28, 2017",7:00p,Detroit Pistons,89,Orlando Magic,102
"Thu, Dec 28, 2017",8:00p,Houston Rockets,98,Boston Celtics,99
"Thu, Dec 28, 2017",8:00p,Minnesota Timberwolves,96,Milwaukee Bucks,102
"Thu, Dec 28, 2017",8:30p,New York Knicks,107,San Antonio Spurs,119
"Thu, Dec 28, 2017",10:30p,Philadelphia 76ers,110,Portland Trail Blazers,114
"Fri, Dec 29, 2017",7:00p,Houston Rockets,103,Washington Wizards,121
"Fri, Dec 29, 2017",7:30p,Atlanta Hawks,98,Toronto Raptors,111
"Fri, Dec 29, 2017",8:00p,Indiana Pacers,107,Chicago Bulls,119
"Fri, Dec 29, 2017",8:00p,Brooklyn Nets,111,Miami Heat,87
"Fri, Dec 29, 2017",8:00p,Dallas Mavericks,128,New Orleans Pelicans,120
"Fri, Dec 29, 2017",8:00p,Milwaukee Bucks,97,Oklahoma City Thunder,95
"Fri, Dec 29, 2017",10:00p,Phoenix Suns,111,Sacramento Kings,101
"Fri, Dec 29, 2017",10:30p,Charlotte Hornets,111,Golden State Warriors,100
"Fri, Dec 29, 2017",10:30p,Los Angeles Clippers,121,Los Angeles Lakers,106
"Sat, Dec 30, 2017",7:00p,San Antonio Spurs,79,Detroit Pistons,93
"Sat, Dec 30, 2017",7:00p,New York Knicks,105,New Orleans Pelicans,103
"Sat, Dec 30, 2017",7:00p,Miami Heat,117,Orlando Magic,111
"Sat, Dec 30, 2017",7:30p,Portland Trail Blazers,89,Atlanta Hawks,104
"Sat, Dec 30, 2017",8:00p,Cleveland Cavaliers,101,Utah Jazz,104
"Sat, Dec 30, 2017",8:30p,Memphis Grizzlies,128,Golden State Warriors,141
"Sat, Dec 30, 2017",9:00p,Philadelphia 76ers,107,Denver Nuggets,102
"Sun, Dec 31, 2017",3:30p,Chicago Bulls,110,Washington Wizards,114
"Sun, Dec 31, 2017",5:00p,Minnesota Timberwolves,107,Indiana Pacers,90
"Sun, Dec 31, 2017",5:30p,Brooklyn Nets,105,Boston Celtics,108
"Sun, Dec 31, 2017",7:00p,Los Angeles Lakers,142,Houston Rockets,148
"Sun, Dec 31, 2017",7:00p,Charlotte Hornets,98,Los Angeles Clippers,106
"Sun, Dec 31, 2017",7:00p,Dallas Mavericks,116,Oklahoma City Thunder,113
"Sun, Dec 31, 2017",7:00p,Memphis Grizzlies,114,Sacramento Kings,96
"Sun, Dec 31, 2017",8:00p,Philadelphia 76ers,123,Phoenix Suns,110
